dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MedMCQA,general,medmcqa::validation::2471,Porosity present in a acrylic denture is usually the result of:,A prolonged curing cycle,Lack of sufficient pressure applied to flask,Insufficient acrylic resin monomer,Prolonged bench cooling after curing,B,Porosity present in a acrylic denture is usually the result of:
MedMCQA,general,medmcqa::validation::2472,Major aim of phase 1 clinical trials is:-,Safety,Efficacy,Dose,Pharmacokinetics,C,Major aim of phase 1 clinical trials is:-
MedMCQA,general,medmcqa::validation::2473,Bennett angle is:,The angle between sagittal condylar path and Frank fort plane,The angle which the path of balancing side condyle makes with the sagittal plane during Lateral excursion,Measured by using a face bow,None of the above,B,Bennett angle is:
MedMCQA,general,medmcqa::validation::2474,"Couinaud classified liver into 8 segments,which structure differentiates the segments anatomically",Poal vein,Hepatic vein,Bile duct,Hepatic aery,B,"Couinaud classified liver into 8 segments,which structure differentiates the segments anatomically"
MedMCQA,general,medmcqa::validation::2475,'Care index' with respect to epidemiology of oral disease is,Ratio of filled teeth to total teeth with caries experience,Ratio of filled teeth to teeth present,No. of filled teeth per person,Ratio of denture users to non-denture users,A,'Care index' with respect to epidemiology of oral disease is
MedMCQA,general,medmcqa::validation::2476,A morbidly obese diabetic woman was on failed metformin therapy. She has the history of pancreatitis and family history of bladder cancer. Patient does not want to take injections. Which of the following would be suitable to reduce her glucose levels?,Liraglutide,Sitagliptin,Canagliflozin,Pioglitazone,C,A morbidly obese diabetic woman was on failed metformin therapy. She has the history of pancreatitis and family history of bladder cancer. Patient does not want to take injections. Which of the following would be suitable to reduce her glucose levels?
MedMCQA,general,medmcqa::validation::2477,Cavity varnish is used for:,To reduce thermal conductivity,To reduce the permeability of acid into dentinal tubules,Action as an obtundant,All of the above,B,Cavity varnish is used for:
MedMCQA,general,medmcqa::validation::2478,A patient shows gingival swelling in lower premolar region. Biopsy was taken and histopathological examination showed endothelium-lined vascular spaces and the extreme proliferation of fibroblasts and budding endothelial cells. What could this lesion be:,Pyogenic granuloma,Fibroma,Aneurysmal bone cyst,Traumatic bone cyst,A,A patient shows gingival swelling in lower premolar region. Biopsy was taken and histopathological examination showed endothelium-lined vascular spaces and the extreme proliferation of fibroblasts and budding endothelial cells. What could this lesion be:
MedMCQA,general,medmcqa::validation::2479,Most common sign of airway obstruction,Slow pounding pulse,Strenuous breathing,Increase pulse rate,Decrease pulse rate,B,Most common sign of airway obstruction
MedMCQA,general,medmcqa::validation::2480,GPCR that does not act through opening of potassium channels is?,Muscarinic M2 receptor,Dopamine D2 receptor,Serotonin 5 HT1 receptor,Angiotensin 1 receptor,D,GPCR that does not act through opening of potassium channels is?
MedMCQA,general,medmcqa::validation::2481,"After a building collapse, among remnants, a person's length of humerus is 24.5 cm. What is the predicted height of this person?",90 cm,110 cm,130 cm,146 cm,C,"After a building collapse, among remnants, a person's length of humerus is 24.5 cm. What is the predicted height of this person?"
MedMCQA,general,medmcqa::validation::2482,"A patient of CKD has presented with protracted vomiting. ABG shows pH = 7.40, pCO2 = 40 mm Hg, HCO3 = 25 mEq, Na=145 mEq/L, Chloride = 100 mEq/L, HCO3 = 24 mEq/L. What is the observation?",Normal anion gap metabolic acidosis,High anion gap metabolic acidosis,No acid base abnormality,High anion gap metabolic acidosis and metabolic alkalosis,D,"A patient of CKD has presented with protracted vomiting. ABG shows pH = 7.40, pCO2 = 40 mm Hg, HCO3 = 25 mEq, Na=145 mEq/L, Chloride = 100 mEq/L, HCO3 = 24 mEq/L. What is the observation?"
MedMCQA,general,medmcqa::validation::2483,Purpose of giving Glycopyrrolate before GA,Decrease laryngeal secretions,Muscle relaxation,Prevents aspiration,Provides analgesia,A,Purpose of giving Glycopyrrolate before GA
MedMCQA,general,medmcqa::validation::2484,what does not occur in 5'- 3'direction?,DNA repair,DNA replication,RNA editing,Transcription,C,what does not occur in 5'- 3'direction?
MedMCQA,general,medmcqa::validation::2485,Highest level of evidence is seen in:,Case control studies,Meta-analysis,Cohort studies,Systematic review,B,Highest level of evidence is seen in:
MedMCQA,general,medmcqa::validation::2486,Which of the following cannula is used in patient with severe dehydration and diarrhea?,Blue,Green,Grey,Pink,C,Which of the following cannula is used in patient with severe dehydration and diarrhea?
MedMCQA,general,medmcqa::validation::2487,Which of the following diseases is NOT transmitted by it?,Kala Azar,Chandipura encephalitis,Babesiosis,Carrion's Disease,C,Which of the following diseases is NOT transmitted by it?
MedMCQA,general,medmcqa::validation::2488,All of the following statements of nasal fractures are true except:,"Even if minor, they may be followed by bilateral ecchymosis and facial oedema",They may need to be reduced for a few weeks,They need not be complicated by traumatic telecanthus,They may lead to the telescoping of the nasal complex into the frontal sinus,B,All of the following statements of nasal fractures are true except:
MedMCQA,general,medmcqa::validation::2489,Etchant preferred in gel form than in liquid form:,Better control over placement,Enhance and concentrate the action of acid,Helps in visualization while placement,None of the above,A,Etchant preferred in gel form than in liquid form:
MedMCQA,general,medmcqa::validation::2490,"A known HIV patient on anti - retroviral therapy presented with diarrhea of six months duration. Stoll microscopy was done in which 10-30 micrometer cysts were seen, Kinyoun stain was positive. What is the most likely diagnosis?",Cystoisospora,Cryptosporidium,Balantidium coli,Strongyloides,A,"A known HIV patient on anti - retroviral therapy presented with diarrhea of six months duration. Stoll microscopy was done in which 10-30 micrometer cysts were seen, Kinyoun stain was positive. What is the most likely diagnosis?"
MedMCQA,general,medmcqa::validation::2491,How long should a child be isolated after being diagnosed with bacterial meningitis to prevent fuher transmission?,Till 24 hours after staing antibiotics,Till cultures become negative,Till antibiotics course is complete,Till 12 hrs after admission,A,How long should a child be isolated after being diagnosed with bacterial meningitis to prevent fuher transmission?
MedMCQA,general,medmcqa::validation::2492,On stretching the cheek the lesion disappears in:,Leukoplakia,Focal hyperkeratosis,Leukoedema,Typhoid,C,On stretching the cheek the lesion disappears in:
MedMCQA,general,medmcqa::validation::2493,Extra palatal root when present on mesial side its known as,Radix mesiopalatalis,Radix mesialis,Radix mesiolingualis,None of the above,C,Extra palatal root when present on mesial side its known as
MedMCQA,general,medmcqa::validation::2494,"A 56-year-old female presents with nocturnal pain in the right thumb, index and middle finger for the past 3 months. All of the following provocative tests can be performed for the diagnosis of the condition except :",Phalen's test,Finkelstein test,Tinel's sign,Tourniquet test,B,"A 56-year-old female presents with nocturnal pain in the right thumb, index and middle finger for the past 3 months. All of the following provocative tests can be performed for the diagnosis of the condition except :"
MedMCQA,general,medmcqa::validation::2495,Which of the following drug is contraindicated in pregnancy?,Enalapril,Amlodipine,b-blockers,Propylthiouracil,A,Which of the following drug is contraindicated in pregnancy?
MedMCQA,general,medmcqa::validation::2496,Interglobular dentin,Has less mineral content,Shows PAS reaction,Both,None,C,Interglobular dentin
MedMCQA,general,medmcqa::validation::2497,All of the following indicate superimposed pre-eclampsia in a pregnant female of chronic hypeension except: (Asked twice),New onset proteinuria,"Platelet count < 75,000",Increase in systolic BP by 30 mm Hg and diastolic by 15 mm Hg,Fresh retinal hypeensive changes,C,All of the following indicate superimposed pre-eclampsia in a pregnant female of chronic hypeension except: (Asked twice)
MedMCQA,general,medmcqa::validation::2498,Basic fear of a 2-year-old child during his first visit to the dentist is related to,Fear of an injection,Fear of separation from parent,Fear of dental instruments,Not understanding the reason for dental treatment,B,Basic fear of a 2-year-old child during his first visit to the dentist is related to
MedMCQA,general,medmcqa::validation::2499,Which of the following show chemical bond with enamel:,Composites,Direct filling resins,Polycarboxylate cements,BIS-GMA resins in pit and fissure sealants,C,Which of the following show chemical bond with enamel:
MedMCQA,general,medmcqa::validation::2500,"A Study conducted in a population. Diastolic Blood Pressure mean 110 mm Hg with SD of 11 mm Hg, Vitamin D mean 18 ng/ml with SD of 3 ng/ml. what is the relation between the two variance",Variance of Vitamin D > DBP,Variance of DBP > 4 times Vitamin D,Data insufficient to comment upon,None,B,"A Study conducted in a population. Diastolic Blood Pressure mean 110 mm Hg with SD of 11 mm Hg, Vitamin D mean 18 ng/ml with SD of 3 ng/ml. what is the relation between the two variance"
MedMCQA,general,medmcqa::validation::2501,Main mechanism of action of heparin Is to prevent:,Conversion of fibrinogen to fibrin,Conversion of prothrombin to thrombin,PTC to PTA,Factor VIIa inhibition,B,Main mechanism of action of heparin Is to prevent:
MedMCQA,general,medmcqa::validation::2502,"For class II die 1 malocclusion of 14 years old boy, which analysis is indicated to detect the tooth extraction",Bolton's analysis,Pont's analysis,Peck & peck analysis,Ashley & Howe's analysis,D,"For class II die 1 malocclusion of 14 years old boy, which analysis is indicated to detect the tooth extraction"
MedMCQA,general,medmcqa::validation::2503,Diffusion capacity of carbon monoxide is decreased in all except:,Polycythemia,Interstitial lung disease,Emphysema,Pulmonary vascular disease,A,Diffusion capacity of carbon monoxide is decreased in all except:
MedMCQA,general,medmcqa::validation::2504,"An avulsed tooth which is replanted shows loss of lamina dura radiographically, high sound on percussion. The type of resorption is",Internal resorpton,External resorption,Replacement resorption,Cervical resorption,C,"An avulsed tooth which is replanted shows loss of lamina dura radiographically, high sound on percussion. The type of resorption is"
MedMCQA,general,medmcqa::validation::2505,Extra-radicular source of persistent endodontic infection is?,Propionobacterium,E.fecalis,V.parvula),T.denticola,A,Extra-radicular source of persistent endodontic infection is?
MedMCQA,general,medmcqa::validation::2506,Which of the following is not a content of mesorectal fascia?,Inferior rectal vein,Superior rectal vein,Pararectal lymph node,Inferior mesenteric plexus,A,Which of the following is not a content of mesorectal fascia?
MedMCQA,general,medmcqa::validation::2507,A motorcyclist after road traffic accident is having raised aerial pCO2 on ABG. Probable cause can be:,Damage to respiratory apparatus,Damage to respiratory centre,Damage to both respiratory apparatus and respiratory centre,Massive lung contusion alone,C,A motorcyclist after road traffic accident is having raised aerial pCO2 on ABG. Probable cause can be:
MedMCQA,general,medmcqa::validation::2508,Pulp mummification is indicated in:,Non-vital tooth,Deep caries on a symptomatic vital tooth,Traumatic exposure of a vital tooth,Traumatic exposure of a vital tooth with open wide apex,C,Pulp mummification is indicated in:
MedMCQA,general,medmcqa::validation::2509,"""Hair-on-end"" appearance in a skull roentgenogram is seen in :",Fibrous dysplasia,Thalassemia,Garre's Osteomyelitis,Pagets disease,B,"""Hair-on-end"" appearance in a skull roentgenogram is seen in :"
MedMCQA,general,medmcqa::validation::2510,Poor prognostic indicator of ALL is –,Female sex,"Leukocyte count < 50,000",Age greater than 1 year,Hypodiploidy,D,Poor prognostic indicator of ALL is –
MedMCQA,general,medmcqa::validation::2511,L-asparaginase is used in the treatment of:,AML,ALL,CML,CLL,B,L-asparaginase is used in the treatment of:
MedMCQA,general,medmcqa::validation::2512,"According to Glickman, maximum accumulation of plaque takes place in approximately",7 days,15 days,30 days,60 days,C,"According to Glickman, maximum accumulation of plaque takes place in approximately"
MedMCQA,general,medmcqa::validation::2513,Which of the following is a false statement?,Acetaminophen does not have anti-inflammatory action,NSAIDs with least cardiovascular risk in Naproxen,Gastric irritation is more severe with NSAIDs compared to aspirin,Non selective COX-2 inhibitors are contraindicated in postoperative patients,C,Which of the following is a false statement?
MedMCQA,general,medmcqa::validation::2514,Most common cause of death in case of acute poliomyelitis is –,Intercostal muscles paralysis,Convulsion,Cardiac arrest,Respiratory failure,D,Most common cause of death in case of acute poliomyelitis is –
MedMCQA,general,medmcqa::validation::2515,Which of the following statements is true for rapid prototyping?,Photopolymer resin cures with laser,Powder by fused deposition modeling,Selective laser sintering,All of the above,D,Which of the following statements is true for rapid prototyping?
MedMCQA,general,medmcqa::validation::2516,"In choriocarcinoma, lung metastasis occurs in which stage?",Stage 1,Stage 2,Stage 3,Stage 4,C,"In choriocarcinoma, lung metastasis occurs in which stage?"
MedMCQA,general,medmcqa::validation::2517,Role of plasticizer in synthetic resins in dentistry is,Increase smoothness,To increase bulk,To prevent polymerisation shrinkage,To reduce softening and fusion temperature,D,Role of plasticizer in synthetic resins in dentistry is
MedMCQA,general,medmcqa::validation::2518,In which of the following disorders a circulating antibody directed to intercellular cementing substance of stratified squamous epithelium is observed:,Lichen planus,Verrucous vulgaris,Bullous pemphigoid,Pemphigus vulgaris,D,In which of the following disorders a circulating antibody directed to intercellular cementing substance of stratified squamous epithelium is observed:
MedMCQA,general,medmcqa::validation::2519,"A 10 year old boy is having polyuria, polydipsia,laboratory data showed (in mEq/lit) – Na– 154 K– 4.5 HCO3– 22 Serum osmolality – 295 Blood urea – 50 Urine specific gravity – 1.005 The likely diagnosis is –",Diabetes insipidus,Renal tubular acidosis,Barter's syndrome,Recurrent UTI,A,"A 10 year old boy is having polyuria, polydipsia,laboratory data showed (in mEq/lit) – Na– 154 K– 4.5 HCO3– 22 Serum osmolality – 295 Blood urea – 50 Urine specific gravity – 1.005 The likely diagnosis is –"
MedMCQA,general,medmcqa::validation::2520,FNAC can not diagnose,Papillary carcinoma of thyroid,Follicular carcinoma of thyroid,Anaplastic carcinoma of thyroid,Medullary carcinoma of thyroid,B,FNAC can not diagnose
MedMCQA,general,medmcqa::validation::2521,Lacunar cells are seen in which type of Hodgkin’s lymphoma,Lymphocyte predominance,Lymphocyte depletion,Nodular sclerosing,Mixed cellularity,C,Lacunar cells are seen in which type of Hodgkin’s lymphoma
MedMCQA,general,medmcqa::validation::2522,Maximum fluoride content is found in:,Sea fish,Tea leaves,Human milk,Coconut water,B,Maximum fluoride content is found in:
MedMCQA,general,medmcqa::validation::2523,A patient with acute history of blistering and denudation involving >30% BSA along with erosions of the lips with hemorrhagic crusting and other mucosa for few days. What is the most common triggering factor?,Bacterial infection,Viral infection,Drug induced,Idiopathic,C,A patient with acute history of blistering and denudation involving >30% BSA along with erosions of the lips with hemorrhagic crusting and other mucosa for few days. What is the most common triggering factor?
MedMCQA,general,medmcqa::validation::2524,Organic component of bone comprises of:,35% collagen,35% noncollagenous protein,65% noncollagenous protein,90% collagen protein,D,Organic component of bone comprises of:
MedMCQA,general,medmcqa::validation::2525,What is the difference between RIFLE & KDIGO criteria in differentiating a tubular injury?,Uosm,Urinary Na,Urinary NGAL,"FeNa (UN, x Scr / SNa x Ucr)",C,What is the difference between RIFLE & KDIGO criteria in differentiating a tubular injury?
MedMCQA,general,medmcqa::validation::2526,Lipids are ………………group of compounds:,Heterogenous,Homogenous,None of the above,Any of the above,A,Lipids are ………………group of compounds:
MedMCQA,general,medmcqa::validation::2527,A couple comes for evaluation of infeility. The HSG was normal but semen analysis revealed azoospermia. What is the diagnostic test to differentiate between testicular failure and vas deferens obstruction?,Serum FSH,Karyotyping,Testosterone levels,Testicular FNAC,A,A couple comes for evaluation of infeility. The HSG was normal but semen analysis revealed azoospermia. What is the diagnostic test to differentiate between testicular failure and vas deferens obstruction?
MedMCQA,general,medmcqa::validation::2528,Which of the following toxin is causing this:,Botulism,Tetanus,Diphtheria,Cholera,A,Which of the following toxin is causing this:
MedMCQA,general,medmcqa::validation::2529,Radio density can be increased by,Decreasing MA,Decreasing kVp,Decreasing target film distance,Increasing target film distance,C,Radio density can be increased by
MedMCQA,general,medmcqa::validation::2530,"In uncontrolled diabetes mellitus, elevated triglyceride and VLDL levels are seen due to:",Increased activity of lipoprotein lipase and decreased activity of hormone sensitive lipase,Increased activity of hormone sensitive lipase and decreased activity of lipoprotein lipase,Increase in peripheral LDL receptors,Increased activity of hepatic lipase,B,"In uncontrolled diabetes mellitus, elevated triglyceride and VLDL levels are seen due to:"
MedMCQA,general,medmcqa::validation::2531,"A 9-year-old child comes with Ellis class-III fracture in 11 after 24 hours, what will be the first step of management?",Take radiograph and Cvek's pulpotomy,Take radiograph and pulpectomy,Indirect pulp capping,Observation and restore with composite resin,A,"A 9-year-old child comes with Ellis class-III fracture in 11 after 24 hours, what will be the first step of management?"
MedMCQA,general,medmcqa::validation::2532,"In a 40 years old patient with head injury, which of the following is the best strategy to decrease the intracerebral pressure?","Limiting pCO, of the patient",Administer sedatives,Oxygen supplementation by mechanical ventilation,Administer nimodipine,A,"In a 40 years old patient with head injury, which of the following is the best strategy to decrease the intracerebral pressure?"
MedMCQA,general,medmcqa::validation::2533,All the following are seen in myasthenia gravis except:,Ptosis,Muscle fatigability,Absent DTRs,Normal pupillary reflex,C,All the following are seen in myasthenia gravis except:
MedMCQA,general,medmcqa::validation::2534,A patient notices a well demarcated area of depapillation on his tongue which has been there for as long as he can remember. The most probable diagnosis:,Median rhomboid glossitis,Geographic tongue,Black hairy tongue,Moeller's glossitis,A,A patient notices a well demarcated area of depapillation on his tongue which has been there for as long as he can remember. The most probable diagnosis:
MedMCQA,general,medmcqa::validation::2535,Root end resection is done?,1mm,4mm,6mm,3mm,D,Root end resection is done?
MedMCQA,general,medmcqa::validation::2536,"All of the following should be avoided by a patient with lactose intolerance, EXCEPT:",Condensed milk,Ice-cream,Skimmed milk,Yoghu,D,"All of the following should be avoided by a patient with lactose intolerance, EXCEPT:"
MedMCQA,general,medmcqa::validation::2537,For testing the statistical significance of the difference in heights of school children among three socio economic groups the most appropriate statistical test is:,Student's 't' test,Chi-squared test,Paired 't' test,One way analysis of variance (one way ANOVA),D,For testing the statistical significance of the difference in heights of school children among three socio economic groups the most appropriate statistical test is:
MedMCQA,general,medmcqa::validation::2538,Inheritance of cleft lip and palate is,Monogenic,Polygenic,Multifactorial,Sex linked,C,Inheritance of cleft lip and palate is
MedMCQA,general,medmcqa::validation::2539,Name the parts of the implant assembly,"1 - fixture, 2 – abutment, 3 - abutment screw, 4 - crown","1 - crown, 2 – abutment screw, 3 - abutment. 4 - fixture","1 - crown, 2 - healing cap, 3 - abutment. 4 - root form implant","1 - crown, 2 - healing cap, 3 - cover screw, 4 - fixture",B,Name the parts of the implant assembly
MedMCQA,general,medmcqa::validation::2540,"In a survey of sleep apnea scores among 10 people, the highest sample of 58 was entered by mistake as 85. This will affect the result as:","Increased mean, decreased median","Increased mean, increased median",Increased mean. no change in median,"No change in mean, increased median.",C,"In a survey of sleep apnea scores among 10 people, the highest sample of 58 was entered by mistake as 85. This will affect the result as:"
MedMCQA,general,medmcqa::validation::2541,Localised suppuration of lung is called:,An abscess,Empyema,Emphysema,Anasarca,A,Localised suppuration of lung is called:
MedMCQA,general,medmcqa::validation::2542,Artery of 4th pharyngeal arch:,Right and left CCA.,Right and left subclavian artery and arch of aorta.,Right and left pulmonary arteries.,None of the above.,B,Artery of 4th pharyngeal arch:
MedMCQA,general,medmcqa::validation::2543,"Among a 100 women with average Hb of 10 gm%, the standard deviation was 1, what is the standard error?",0.01,0.1,1,10,B,"Among a 100 women with average Hb of 10 gm%, the standard deviation was 1, what is the standard error?"
MedMCQA,general,medmcqa::validation::2544,The age of the child used in the determination of child mortality rate is:,0-5 years,1-4 years,5-8 years,0-1 years,B,The age of the child used in the determination of child mortality rate is:
MedMCQA,general,medmcqa::validation::2545,The formation of the dental lamina is initiated by,Forebrain,Rathke's pouch,Neural crest cells,Odontoblasts,C,The formation of the dental lamina is initiated by
MedMCQA,general,medmcqa::validation::2546,The most outer covering of nerve fibres is called as:,Neurolemma,Perineurium,Axolemma,Myelin sheath,B,The most outer covering of nerve fibres is called as:
MedMCQA,general,medmcqa::validation::2547,A 46 years old male patient was given subarachnoid block with bupivacaine (heavy) by the anesthetist. After 10 minutes he was found to have a BP of 72/44 mm Hg and hea rate of 52/min. On checking the level of block it was found to be T6. What is the likely explanation for the bradvcardia?,Bezold-Jarisch reflex,Bainbridge reflex,Block of Cardio-accelerator fibers of synthetic origin,Reverse Bainbridge reflex,A,A 46 years old male patient was given subarachnoid block with bupivacaine (heavy) by the anesthetist. After 10 minutes he was found to have a BP of 72/44 mm Hg and hea rate of 52/min. On checking the level of block it was found to be T6. What is the likely explanation for the bradvcardia?
MedMCQA,general,medmcqa::validation::2548,This specific sign is seen in:,Lead poisoning,Organophosphorus poisoning,Arsenic poisoning,Zinc poisoning,C,This specific sign is seen in:
MedMCQA,general,medmcqa::validation::2549,Patient who is a known case of thalassemia major already on repeated blood transfusions with history of iron overload previously treated with chelating agents. She also has a history of cardiac arrhythmia. She came for BT now. During BT patient complained of backache and looks extremely anxious. What is next management?,Observe for a change in colour of the urine,"Continue BT, do ECG",Stop BT and wait for patient to get normal and sta,Stop BT and Do clerical check,D,Patient who is a known case of thalassemia major already on repeated blood transfusions with history of iron overload previously treated with chelating agents. She also has a history of cardiac arrhythmia. She came for BT now. During BT patient complained of backache and looks extremely anxious. What is next management?
MedMCQA,general,medmcqa::validation::2550,Which of the following has a bifid root?,"32, 42","31, 41","34, 44","13, 23",C,Which of the following has a bifid root?
MedMCQA,general,medmcqa::validation::2551,Which Bone does not form the wrist joint,Radius,Triquetrum,Scaphoid,Ulna,D,Which Bone does not form the wrist joint
MedMCQA,general,medmcqa::validation::2552,Stenopic slit'is used for all except-,Fincham's test,Determine the axis of cylinder,Corneal tattooing,lridectomy,C,Stenopic slit'is used for all except-
MedMCQA,general,medmcqa::validation::2553,"In a patient with obstructive jaundice, what is the possible explanation for a bilirubin level of 40 mg/dL?",Malignant obstruction,Complete obstruction of common bile duct,Renal failure,Liver failure,C,"In a patient with obstructive jaundice, what is the possible explanation for a bilirubin level of 40 mg/dL?"
MedMCQA,general,medmcqa::validation::2554,Drugs used in urea cycle disorders to reduce ammonia?,Phenyl butarone,Phenyl butyrate,L - Carnitine,Isoleucin,B,Drugs used in urea cycle disorders to reduce ammonia?
MedMCQA,general,medmcqa::validation::2555,Calcium In blood increased by,Calcitonin,Parathormone,TNF alpha,Insulin,B,Calcium In blood increased by
MedMCQA,general,medmcqa::validation::2556,Mass Drug Administration is not helpful for,Lymphatic Filariasis,Vitamin A Deficiency,Worm infestation,Scabies,D,Mass Drug Administration is not helpful for
MedMCQA,general,medmcqa::validation::2557,If continuous hypersensitivity develops in recently restored tooth:,No treatment necessary,Remove the restoration and place ZOE,Perform pulpectomy,Perform direct pulp capping,C,If continuous hypersensitivity develops in recently restored tooth:
MedMCQA,general,medmcqa::validation::2558,Immune thrombocytopenic purpura (ITP) is a complication observed with which of the following vaccines? (Asked twice),MMR,HIV conjugate polysaccharide vaccine,Typhoid Vi polysaccharide vaccine,Influenza vaccine,A,Immune thrombocytopenic purpura (ITP) is a complication observed with which of the following vaccines? (Asked twice)
MedMCQA,general,medmcqa::validation::2559,". The prospectively evaluated, double-blinded, randomized clinical trail represents the 'gold-standard' for providing evidence for therapeutic decision making. This was first proposed by the father of evidence-based medicine:",Tolstoy,Sackett,Hippocrates,da Vinci,B,". The prospectively evaluated, double-blinded, randomized clinical trail represents the 'gold-standard' for providing evidence for therapeutic decision making. This was first proposed by the father of evidence-based medicine:"
MedMCQA,general,medmcqa::validation::2560,Hepatic First pass metabolism will be bypassed by the foltowing routes of drug adminisration excePt?,Oral,Intravenous,Sublingual,Intradermal,A,Hepatic First pass metabolism will be bypassed by the foltowing routes of drug adminisration excePt?
MedMCQA,general,medmcqa::validation::2561,Cherry red spot after trauma is seen in children due to:,CRAO,CRVO,Berlin's edema,Niemann-Pick's disease,C,Cherry red spot after trauma is seen in children due to:
MedMCQA,general,medmcqa::validation::2562,Single accessory canal arises from coronal 1/3rd in what percentage of mandibular molars,23%,13%,10%,None of the above,A,Single accessory canal arises from coronal 1/3rd in what percentage of mandibular molars
MedMCQA,general,medmcqa::validation::2563,What does low volume of distribution of a drug mean?,Low bioavailability,Does not accumulates in tissues,Low absorption,Not metabolized in the body,B,What does low volume of distribution of a drug mean?
MedMCQA,general,medmcqa::validation::2564,The conversion of glucose-6-P to fructose-6-P is an example of which of the following reactions:,Phosphate transfer,Isomerisation,Dehydration,Aldol cleavage,B,The conversion of glucose-6-P to fructose-6-P is an example of which of the following reactions:
MedMCQA,general,medmcqa::validation::2565,"A person with histrionic, shy, anxious avoidant per!sonality comes under which cluster?",A,B,C,D,C,"A person with histrionic, shy, anxious avoidant per!sonality comes under which cluster?"
MedMCQA,general,medmcqa::validation::2566,Which of the following is third generation cephalosporin?,Cefoperazone,Cefuroxime,Cefoxitin,Cefadroxil,A,Which of the following is third generation cephalosporin?
MedMCQA,general,medmcqa::validation::2567,Ideal denture base material should not have,Sufficient strength,Dense and non-irritating surface,High specific gravity,Esthetically acceptable,C,Ideal denture base material should not have
MedMCQA,general,medmcqa::validation::2568,Buccopharyngeal membrane is composed of:,Ectoderm.,Endoderm.,Mesoderm,Both AB,D,Buccopharyngeal membrane is composed of:
MedMCQA,general,medmcqa::validation::2569,"A 11 year old boy with grossly carious right maxillary lateral incisor, LA is given, complains of burning sensation in right eye, swelling in right eyelid, best statement to explain this condition.",Middle meningeal artery has tortuous course,LA reaches the eyelid via infraorbital foramen,"Reaction is due to preservative in the L.A., it will subside in some time",Pain will subside in few minutes,C,"A 11 year old boy with grossly carious right maxillary lateral incisor, LA is given, complains of burning sensation in right eye, swelling in right eyelid, best statement to explain this condition."
MedMCQA,general,medmcqa::validation::2570,Sibilant sounds are produced at:,Rest position,Occluding position,Open from resting position,Between rest and occluding position,D,Sibilant sounds are produced at:
MedMCQA,general,medmcqa::validation::2571,Temporo-mandibular ligament is attached to:,Lateral aspect of TMJ,Posterior aspect of TMJ,Mandibular condyle,Coronoid process,A,Temporo-mandibular ligament is attached to:
MedMCQA,general,medmcqa::validation::2572,What should be the best treatment option for the extraction socket shown in Fig,Ovate Pontic,Modified ridge lap,Sanitary pontic,All of the above,A,What should be the best treatment option for the extraction socket shown in Fig
MedMCQA,general,medmcqa::validation::2573,The maximum penetration among the following is seen with which ray:,Alpha,Beta,Gamma,Electron Beam,C,The maximum penetration among the following is seen with which ray:
MedMCQA,general,medmcqa::validation::2574,The red blood cells in beta thalassemia are typically:,Macrocytic and normochromic,Microcytic and hypochromic,Normocytic and hypochromic,Normocytic and normochromic,B,The red blood cells in beta thalassemia are typically:
MedMCQA,general,medmcqa::validation::2575,"A 60 years old patient who had myocardial infarction 2 weeks back, the lipid profile is done for a patient and reveals HDL 32 mgldL, LDL 126 mg/dl, TG 276 mgl/dL. Which of the following is preferred for this patient ?",Rosuvastatin + Fenofibrate,Fenofibrate alone,Rosuvastatin 10 mg,Atorvastatin 80 mg,D,"A 60 years old patient who had myocardial infarction 2 weeks back, the lipid profile is done for a patient and reveals HDL 32 mgldL, LDL 126 mg/dl, TG 276 mgl/dL. Which of the following is preferred for this patient ?"
MedMCQA,general,medmcqa::validation::2576,RNAi causes the following in a gene:,Knock in,Knock out,Knock down,Knock up,C,RNAi causes the following in a gene:
MedMCQA,general,medmcqa::validation::2577,"In a patient with heart disease, which of the following should not be used to control PPH:",Methylergometrine,Oxytocin,Misoprostol,Carboprost,A,"In a patient with heart disease, which of the following should not be used to control PPH:"
MedMCQA,general,medmcqa::validation::2578,Pulpectomy and pulp capping are more successful in primary teeth because of:,Increased odontoblastic activity in the young,Increased blood supply through the wide apex,Increased volume of pulp in primary teeth,Lesser amount of collagen fibres in young,B,Pulpectomy and pulp capping are more successful in primary teeth because of:
MedMCQA,general,medmcqa::validation::2579,Which are all the factors determining the GFR?,Afferent aeriolar resistance,Efferent aeriolar resistance,Aerial pressure,All of the above,D,Which are all the factors determining the GFR?
MedMCQA,general,medmcqa::validation::2580,Sclerotic dentin has following features:,Caries susceptible,Insensitive,Hypersensitive,Resistant to caries,D,Sclerotic dentin has following features:
MedMCQA,general,medmcqa::validation::2581,Complete obliteration of pulp is seen in all except:,Type I dentinogenesis imperfecta,Type II dentinogenesis imperfecta,Type III dentinogenesis imperfecta,Dentin dysplasia,B,Complete obliteration of pulp is seen in all except:
MedMCQA,general,medmcqa::validation::2582,A spirometry curve of a patient has been provided below. Calculate the FEV1/FVC ratio from the curve:,60-69%,70-79%,80-89%,90-99%,C,A spirometry curve of a patient has been provided below. Calculate the FEV1/FVC ratio from the curve:
MedMCQA,general,medmcqa::validation::2583,Minimum blood pressure is in:,Aorta,Arteries,Capillaries,Venules,D,Minimum blood pressure is in:
